Datum,   Brot,Fleisch,    Fisch,    Molkerei-Eier,    Speisefette-öle,    Obst,    Gemüse,"    Zucker, Marmelade, Honig",    Fertigerichte,  Kaffee-Tee,    Wasser-Saft
2020-04-20,101.1,101.0,101.0,100.4,101.2,101.8,109.4,100.4,100.9,100.9,101.4
2020-04-21,101.1,101.0,101.0,100.4,101.2,101.8,109.4,100.4,100.9,100.9,101.4
2020-04-22,101.1,101.0,101.0,100.4,101.2,101.8,109.4,100.4,100.9,100.9,101.4
2020-04-23,101.1,101.0,101.0,100.4,101.2,101.8,109.4,100.4,100.9,100.9,101.4
2020-04-24,101.1,101.0,101.0,100.4,101.2,101.8,109.4,100.4,100.9,100.9,101.4
2020-04-25,101.1,101.0,101.0,100.4,101.2,101.8,109.4,100.4,100.9,100.9,101.4
2020-04-26,101.1,101.0,101.0,100.4,101.2,101.8,109.4,100.4,100.9,100.9,101.4
2020-04-27,101.1,101.0,101.0,100.4,101.2,101.8,109.4,100.4,100.9,100.9,101.4
2020-04-28,101.1,101.0,101.0,100.4,101.2,101.8,109.4,100.4,100.9,100.9,101.4
2020-04-29,101.1,101.0,101.0,100.4,101.2,101.8,109.4,100.4,100.9,100.9,101.4
2020-04-30,101.1,101.0,101.0,100.4,101.2,101.8,109.4,100.4,100.9,100.9,101.4
2020-05-01,100.9,101.5,101.1,101.7,101.3,102.2,104.8,100.7,101.2,101.4,101.4
2020-05-02,100.9,101.5,101.1,101.7,101.3,102.2,104.8,100.7,101.2,101.4,101.4
2020-05-03,100.9,101.5,101.1,101.7,101.3,102.2,104.8,100.7,101.2,101.4,101.4
2020-05-04,100.9,101.5,101.1,101.7,101.3,102.2,104.8,100.7,101.2,101.4,101.4
2020-05-05,100.9,101.5,101.1,101.7,101.3,102.2,104.8,100.7,101.2,101.4,101.4
2020-05-06,100.9,101.5,101.1,101.7,101.3,102.2,104.8,100.7,101.2,101.4,101.4
2020-05-07,100.9,101.5,101.1,101.7,101.3,102.2,104.8,100.7,101.2,101.4,101.4
2020-05-08,100.9,101.5,101.1,101.7,101.3,102.2,104.8,100.7,101.2,101.4,101.4
2020-05-09,100.9,101.5,101.1,101.7,101.3,102.2,104.8,100.7,101.2,101.4,101.4
2020-05-10,100.9,101.5,101.1,101.7,101.3,102.2,104.8,100.7,101.2,101.4,101.4
2020-05-11,100.9,101.5,101.1,101.7,101.3,102.2,104.8,100.7,101.2,101.4,101.4
2020-05-12,100.9,101.5,101.1,101.7,101.3,102.2,104.8,100.7,101.2,101.4,101.4
2020-05-13,100.9,101.5,101.1,101.7,101.3,102.2,104.8,100.7,101.2,101.4,101.4
2020-05-14,100.9,101.5,101.1,101.7,101.3,102.2,104.8,100.7,101.2,101.4,101.4
2020-05-15,100.9,101.5,101.1,101.7,101.3,102.2,104.8,100.7,101.2,101.4,101.4
2020-05-16,100.9,101.5,101.1,101.7,101.3,102.2,104.8,100.7,101.2,101.4,101.4
2020-05-17,100.9,101.5,101.1,101.7,101.3,102.2,104.8,100.7,101.2,101.4,101.4
2020-05-18,100.9,101.5,101.1,101.7,101.3,102.2,104.8,100.7,101.2,101.4,101.4
